timestamp,container,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-04-27T08:15:49.1219937+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,998B / 126B,8.09MB / 4.1kB,13
2026-04-27T08:15:49.1219937+05:30,mediroute_backend,0.15%,212.4MiB / 3.529GiB,5.88%,6.42kB / 5.16kB,167MB / 0B,28
2026-04-27T08:15:49.1219937+05:30,mediroute_db,0.03%,42.65MiB / 3.529GiB,1.18%,6.94kB / 5.51kB,40MB / 467kB,6
2026-04-27T08:15:49.1219937+05:30,mediroute_redis,0.44%,6.637MiB / 3.529GiB,0.18%,2.12kB / 126B,12.5MB / 0B,6
2026-04-27T08:16:06.3166126+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:16:06.3166126+05:30,mediroute_backend,6.87%,218.6MiB / 3.529GiB,6.05%,243kB / 277kB,170MB / 0B,30
2026-04-27T08:16:06.3166126+05:30,mediroute_db,0.56%,45.02MiB / 3.529GiB,1.25%,168kB / 95.4kB,40.5MB / 565kB,7
2026-04-27T08:16:06.3166126+05:30,mediroute_redis,0.50%,6.898MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:16:23.3339099+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:16:23.3339099+05:30,mediroute_backend,1.70%,219.4MiB / 3.529GiB,6.07%,389kB / 353kB,170MB / 0B,30
2026-04-27T08:16:23.3339099+05:30,mediroute_db,2.74%,45.1MiB / 3.529GiB,1.25%,200kB / 112kB,40.5MB / 573kB,7
2026-04-27T08:16:23.3339099+05:30,mediroute_redis,2.96%,6.703MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:16:40.4291248+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:16:40.4291248+05:30,mediroute_backend,1.68%,219.4MiB / 3.529GiB,6.07%,504kB / 386kB,170MB / 0B,30
2026-04-27T08:16:40.4291248+05:30,mediroute_db,0.04%,45.12MiB / 3.529GiB,1.25%,200kB / 112kB,40.5MB / 573kB,7
2026-04-27T08:16:40.4291248+05:30,mediroute_redis,0.52%,6.961MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:16:57.5561487+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:16:57.5561487+05:30,mediroute_backend,4.76%,219.2MiB / 3.529GiB,6.07%,629kB / 428kB,170MB / 0B,30
2026-04-27T08:16:57.5561487+05:30,mediroute_db,5.99%,45.28MiB / 3.529GiB,1.25%,222kB / 123kB,40.5MB / 573kB,7
2026-04-27T08:16:57.5561487+05:30,mediroute_redis,3.26%,6.98MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
2026-04-27T08:17:14.6699482+05:30,mediroute_frontend,0.00%,11.61MiB / 3.529GiB,0.32%,1.04kB / 126B,8.09MB / 4.1kB,13
2026-04-27T08:17:14.6699482+05:30,mediroute_backend,1.53%,219.1MiB / 3.529GiB,6.06%,864kB / 661kB,170MB / 0B,30
2026-04-27T08:17:14.6699482+05:30,mediroute_db,0.00%,45.16MiB / 3.529GiB,1.25%,379kB / 204kB,40.5MB / 573kB,7
2026-04-27T08:17:14.6699482+05:30,mediroute_redis,0.61%,6.719MiB / 3.529GiB,0.19%,2.16kB / 126B,12.5MB / 0B,6
