timestamp,container,cpu,mem_usage,mem_percent,net_io,block_io,pids
2026-04-27T08:30:29.8357822+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:30:29.8357822+05:30,mediroute_backend,0.14%,223.1MiB / 3.529GiB,6.18%,5.49MB / 3.39MB,170MB / 0B,33
2026-04-27T08:30:29.8357822+05:30,mediroute_db,5.29%,53.02MiB / 3.529GiB,1.47%,1.82MB / 957kB,41.8MB / 901kB,11
2026-04-27T08:30:29.8357822+05:30,mediroute_redis,0.47%,6.777MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:30:47.0009149+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:30:47.0009149+05:30,mediroute_backend,9.66%,223.2MiB / 3.529GiB,6.18%,5.7MB / 3.63MB,170MB / 0B,33
2026-04-27T08:30:47.0009149+05:30,mediroute_db,0.78%,52.82MiB / 3.529GiB,1.46%,1.96MB / 1.03MB,41.9MB / 901kB,11
2026-04-27T08:30:47.0009149+05:30,mediroute_redis,0.57%,6.996MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:31:04.0778204+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:31:04.0778204+05:30,mediroute_backend,2.42%,223.2MiB / 3.529GiB,6.18%,5.86MB / 3.72MB,170MB / 0B,33
2026-04-27T08:31:04.0778204+05:30,mediroute_db,10.08%,52.95MiB / 3.529GiB,1.47%,2.01MB / 1.06MB,41.9MB / 901kB,11
2026-04-27T08:31:04.0778204+05:30,mediroute_redis,0.58%,6.746MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:31:21.2965229+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:31:21.2965229+05:30,mediroute_backend,2.25%,224.4MiB / 3.529GiB,6.21%,5.98MB / 3.76MB,170MB / 0B,33
2026-04-27T08:31:21.2965229+05:30,mediroute_db,0.00%,52.82MiB / 3.529GiB,1.46%,2.01MB / 1.06MB,41.9MB / 901kB,11
2026-04-27T08:31:21.2965229+05:30,mediroute_redis,0.48%,6.996MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:31:38.4793764+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:31:38.4793764+05:30,mediroute_backend,10.45%,223.5MiB / 3.529GiB,6.18%,6.11MB / 3.8MB,170MB / 0B,33
2026-04-27T08:31:38.4793764+05:30,mediroute_db,1.16%,52.83MiB / 3.529GiB,1.46%,2.02MB / 1.06MB,41.9MB / 901kB,11
2026-04-27T08:31:38.4793764+05:30,mediroute_redis,0.62%,6.996MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:31:55.6826900+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:31:55.6826900+05:30,mediroute_backend,2.12%,223.9MiB / 3.529GiB,6.20%,6.34MB / 4.04MB,170MB / 0B,33
2026-04-27T08:31:55.6826900+05:30,mediroute_db,0.02%,52.82MiB / 3.529GiB,1.46%,2.19MB / 1.15MB,41.9MB / 901kB,11
2026-04-27T08:31:55.6826900+05:30,mediroute_redis,0.54%,6.996MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:32:12.3046830+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:32:12.3046830+05:30,mediroute_backend,2.16%,223.6MiB / 3.529GiB,6.19%,6.46MB / 4.07MB,170MB / 0B,33
2026-04-27T08:32:12.3046830+05:30,mediroute_db,0.02%,52.82MiB / 3.529GiB,1.46%,2.19MB / 1.15MB,41.9MB / 901kB,11
2026-04-27T08:32:12.3046830+05:30,mediroute_redis,0.60%,6.996MiB / 3.529GiB,0.19%,2.24kB / 126B,12.5MB / 0B,6
2026-04-27T08:32:29.5689006+05:30,mediroute_frontend,0.00%,11.64MiB / 3.529GiB,0.32%,2.16kB / 1.3kB,8.09MB / 4.1kB,13
2026-04-27T08:32:29.5689006+05:30,mediroute_backend,1.86%,223.4MiB / 3.529GiB,6.18%,6.58MB / 4.1MB,170MB / 0B,33
